ReviewID,CustomerID,ReviewDate,Rating,ProductID,ReviewText,SentimentScores,SentimentCategory,SentimentBucket
25,55,2024-12-19,4,20,Shipping was fast and the item was well-packaged.,0.0,Positive,0.0 to 0.49
26,76,2024-08-21,4,11,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
27,56,2025-11-24,4,6,The quality is top-notch.,0.0,Positive,0.0 to 0.49
28,76,2025-05-27,5,8,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
29,38,2023-05-31,4,13,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
30,84,2024-03-18,4,6,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
31,93,2025-08-25,3,4,"Good quality, but could be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
32,91,2023-07-15,4,1,The quality is top-notch.,0.0,Positive,0.0 to 0.49
33,30,2023-02-21,4,2,Shipping was fast and the item was well-packaged.,0.0,Positive,0.0 to 0.49
34,81,2024-03-30,5,15,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
35,27,2024-03-13,3,12,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
36,96,2025-12-05,3,9,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
37,38,2023-09-11,3,3,"Average experience, nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
38,45,2024-05-07,5,17,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
39,54,2023-10-02,5,1,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
40,33,2025-01-03,5,2,Five stars  for the quick delivery.,0.0,Positive,0.0 to 0.49
41,93,2025-05-15,3,17,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
42,72,2023-03-21,5,15,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
43,84,2025-02-02,4,15,Exceeded my  expectations!,0.0,Positive,0.0 to 0.49
44,44,2023-04-20,5,17,"Excellent product,  highly recommend!",0.7773,Positive,0.5 to 1.0
45,11,2023-03-23,3,16,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
46,27,2025-05-07,4,5,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
47,19,2024-06-01,4,13,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
48,70,2023-10-08,4,17,Shipping was fast and the item  was well-packaged.,0.0,Positive,0.0 to 0.49
49,3,2025-06-09,3,7,"Good quality, but could  be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
50,62,2023-01-07,1,4,The product stopped working after a month.,-0.2263,Negative,-0.49 to 0.0
51,49,2023-04-14,4,17,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
52,75,2024-04-07,4,11,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
53,73,2025-12-28,4,18,Five stars for  the quick delivery.,0.0,Positive,0.0 to 0.49
54,33,2023-05-03,5,8,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
55,57,2025-11-03,3,9,Customer support was  very helpful.,0.6997,Mixed Positive,0.5 to 1.0
56,15,2025-12-11,3,10,Shipping was fast and the item was well-packaged.,0.0,Neutral,0.0 to 0.49
57,41,2024-04-06,2,10,Disappointed with the performance.,-0.4767,Negative,-0.49 to 0.0
58,78,2024-07-16,2,7,"The product  is okay, but the instructions were unclear.",-0.2617,Negative,-0.49 to 0.0
59,98,2024-09-01,4,9,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
60,11,2023-12-27,4,16,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
61,50,2023-02-24,4,19,"Great purchase,  very satisfied.",0.8016,Positive,0.5 to 1.0
62,35,2023-03-18,2,17,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
63,93,2025-01-05,4,2,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
64,86,2025-10-30,4,11,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
65,34,2024-06-15,1,3,Not worth the money.,-0.1695,Negative,-0.49 to 0.0
66,94,2023-06-17,4,16,"I love this product, will buy  again!",0.6696,Positive,0.5 to 1.0
67,67,2025-04-12,3,13,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
68,38,2023-03-23,3,7,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
69,77,2025-08-03,3,12,Five stars for the quick delivery.,0.0,Neutral,0.0 to 0.49
70,93,2024-01-30,4,5,Shipping was fast  and the item was well-packaged.,0.0,Positive,0.0 to 0.49
71,24,2025-07-28,3,11,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
72,29,2023-05-29,5,4,The  build quality is impressive.,0.5106,Positive,0.5 to 1.0
73,68,2025-05-05,5,19,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
74,59,2023-05-16,3,9,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
75,22,2024-01-13,5,3,Shipping was fast and the item was well-packaged.,0.0,Positive,0.0 to 0.49
76,9,2025-08-31,4,10,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
77,74,2023-03-15,4,5,"Great purchase,  very satisfied.",0.8016,Positive,0.5 to 1.0
78,6,2024-12-09,5,10,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
79,84,2024-05-28,2,15,The product arrived  late.,0.0,Negative,0.0 to 0.49
80,98,2025-05-24,3,16,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
81,3,2024-09-04,4,19,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
82,78,2023-05-02,4,13,Shipping  was fast and the item was well-packaged.,0.0,Positive,0.0 to 0.49
83,32,2025-05-26,4,11,The quality is  top-notch.,0.0,Positive,0.0 to 0.49
84,40,2023-07-17,4,20,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
85,17,2025-10-25,5,6,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
86,78,2025-10-06,5,3,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
87,89,2023-05-26,3,17,Not  worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
88,93,2025-08-26,4,19,Exceeded my expectations!,0.0,Positive,0.0 to 0.49
89,60,2024-07-08,3,3,The quality is top-notch.,0.0,Neutral,0.0 to 0.49
90,47,2025-11-12,4,17,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
91,4,2025-09-27,3,16,"Great purchase, very satisfied.",0.8016,Mixed Positive,0.5 to 1.0
92,2,2023-11-21,3,16,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
93,60,2024-09-05,3,13,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
94,2,2025-03-14,4,16,The quality is top-notch.,0.0,Positive,0.0 to 0.49
95,16,2024-04-07,4,16,Shipping was fast and the item was well-packaged.,0.0,Positive,0.0 to 0.49
96,19,2023-09-02,3,13,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
97,64,2024-01-19,3,6,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
98,96,2025-11-20,5,3,Exceeded my expectations!,0.0,Positive,0.0 to 0.49
99,79,2025-01-29,2,16,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
100,9,2025-06-20,3,2,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
101,61,2024-09-11,5,18,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
102,4,2025-08-22,5,2,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
103,82,2024-11-17,5,14,The quality is top-notch.,0.0,Positive,0.0 to 0.49
104,96,2023-01-06,4,5,"I love  this product, will buy again!",0.6696,Positive,0.5 to 1.0
105,32,2024-08-27,2,12,The product  arrived late.,0.0,Negative,0.0 to 0.49
106,94,2024-02-25,2,17,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
107,26,2025-02-17,5,10,Five stars for  the quick delivery.,0.0,Positive,0.0 to 0.49
108,80,2023-12-22,5,17,Five stars for the  quick delivery.,0.0,Positive,0.0 to 0.49
109,38,2023-07-25,4,10,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
110,54,2024-08-02,4,12,Customer  support was very helpful.,0.6997,Positive,0.5 to 1.0
111,43,2023-11-05,4,7,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
112,87,2023-05-26,5,3,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
113,27,2024-03-31,2,9,Disappointed with the performance.,-0.4767,Negative,-0.49 to 0.0
114,52,2025-05-04,2,19,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
115,82,2023-09-28,4,9,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
116,70,2023-07-23,4,18,The quality is top-notch.,0.0,Positive,0.0 to 0.49
117,20,2025-04-19,4,14,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
118,59,2024-05-01,1,6,The product arrived late.,0.0,Negative,0.0 to 0.49
119,34,2025-09-06,4,5,"Great purchase, very  satisfied.",0.8016,Positive,0.5 to 1.0
120,3,2024-08-18,4,20,The quality is top-notch.,0.0,Positive,0.0 to 0.49
121,91,2025-11-02,2,1,"Good quality, but could be cheaper.",0.2382,Mixed Negative,0.0 to 0.49
122,83,2024-09-27,2,14,Not worth the money.,-0.1695,Negative,-0.49 to 0.0
123,93,2025-09-22,4,1,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
124,36,2023-07-17,5,16,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
125,55,2025-12-20,5,11,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
126,32,2024-08-12,5,10,Exceeded my expectations!,0.0,Positive,0.0 to 0.49
127,47,2025-03-25,4,8,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
128,71,2023-12-13,2,20,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
129,46,2025-02-14,4,13,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
130,88,2025-09-22,5,3,"Great  purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
131,42,2023-06-16,5,5,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
132,21,2025-11-13,2,7,Product did not meet my expectations.,0.0,Negative,0.0 to 0.49
133,40,2025-05-24,4,4,The quality is top-notch.,0.0,Positive,0.0 to 0.49
134,74,2024-03-27,3,4,"Good quality, but could  be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
135,48,2023-06-08,4,14,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
136,17,2025-03-27,5,3,Amazing value for  the price.,0.7351,Positive,0.5 to 1.0
137,88,2023-03-02,4,6,"Good quality, but could  be cheaper.",0.2382,Positive,0.0 to 0.49
138,28,2023-01-18,5,15,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
139,36,2023-04-20,4,16,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
140,53,2023-12-03,3,18,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
141,98,2024-10-15,5,9,Amazing value for the  price.,0.7351,Positive,0.5 to 1.0
142,15,2023-08-04,5,7,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
143,3,2023-04-12,3,12,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
144,27,2025-08-16,4,15,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
145,27,2024-03-05,3,10,"The  product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
146,5,2025-01-09,4,13,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
147,100,2025-01-25,2,20,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
148,17,2024-11-05,1,18,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
149,50,2023-12-20,4,3,The quality is top-notch.,0.0,Positive,0.0 to 0.49
150,4,2024-06-18,5,15,"I love this product, will buy  again!",0.6696,Positive,0.5 to 1.0
151,21,2023-10-30,3,19,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
152,32,2025-12-15,3,16,"Good quality, but  could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
153,95,2023-11-06,5,11,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
154,3,2023-12-19,4,12,The quality is top-notch.,0.0,Positive,0.0 to 0.49
155,89,2025-12-10,4,3,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
156,5,2025-01-26,5,7,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
157,10,2025-10-14,2,17,The product arrived late.,0.0,Negative,0.0 to 0.49
158,37,2024-04-16,5,2,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
159,23,2023-09-01,5,12,"I love this product,  will buy again!",0.6696,Positive,0.5 to 1.0
160,71,2024-01-02,2,9,Not worth the money.,-0.1695,Negative,-0.49 to 0.0
161,9,2025-08-05,2,18,The product arrived  late.,0.0,Negative,0.0 to 0.49
162,64,2023-07-25,3,20,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
163,89,2023-05-27,5,7,The quality is top-notch.,0.0,Positive,0.0 to 0.49
164,25,2024-03-16,2,19,Product did not  meet my expectations.,0.0,Negative,0.0 to 0.49
165,97,2025-06-03,4,3,The quality is top-notch.,0.0,Positive,0.0 to 0.49
166,87,2023-11-01,3,3,"Good  quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
167,28,2023-08-02,2,16,Product did not meet  my expectations.,0.0,Negative,0.0 to 0.49
168,72,2025-12-13,3,2,Customer support was very helpful.,0.6997,Mixed Positive,0.5 to 1.0
169,26,2025-09-28,5,8,Five stars for the quick  delivery.,0.0,Positive,0.0 to 0.49
170,53,2024-06-23,5,13,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
171,2,2024-02-16,3,16,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
172,79,2024-11-23,3,2,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
173,15,2025-05-30,5,16,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
174,91,2024-06-23,4,8,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
175,3,2024-11-02,3,6,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
176,21,2023-11-23,3,11,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
177,93,2025-07-03,4,19,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
178,17,2025-05-25,4,20,The quality is  top-notch.,0.0,Positive,0.0 to 0.49
179,46,2025-11-26,4,20,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
180,77,2023-03-08,4,5,"Great purchase,  very satisfied.",0.8016,Positive,0.5 to 1.0
181,4,2024-08-09,4,3,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
182,21,2024-03-08,5,11,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
183,13,2025-06-08,4,5,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
184,59,2024-12-29,4,5,Shipping was fast and the item was well-packaged.,0.0,Positive,0.0 to 0.49
185,8,2023-11-13,2,6,Product did not meet my expectations.,0.0,Negative,0.0 to 0.49
186,22,2023-02-17,4,13,The quality is top-notch.,0.0,Positive,0.0 to 0.49
187,58,2025-05-01,4,18,The quality is top-notch.,0.0,Positive,0.0 to 0.49
188,70,2025-09-19,5,5,Exceeded my expectations!,0.0,Positive,0.0 to 0.49
189,83,2025-03-13,2,7,The product  arrived late.,0.0,Negative,0.0 to 0.49
190,83,2023-08-10,3,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
191,68,2024-09-05,4,3,"Great purchase,  very satisfied.",0.8016,Positive,0.5 to 1.0
192,42,2023-08-04,5,17,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
193,84,2024-06-21,3,20,"The product is okay, but the instructions were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
194,7,2025-05-19,1,7,The product arrived late.,0.0,Negative,0.0 to 0.49
195,75,2023-10-25,5,5,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
196,91,2023-10-29,3,2,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
197,51,2024-11-27,4,15,"I love this product,  will buy again!",0.6696,Positive,0.5 to 1.0
198,57,2023-08-27,5,8,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
199,6,2024-08-20,5,13,The  quality is top-notch.,0.0,Positive,0.0 to 0.49
200,30,2025-01-09,3,17,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
201,59,2023-05-23,2,6,Not worth the money.,-0.1695,Negative,-0.49 to 0.0
202,33,2023-09-06,5,9,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
203,66,2023-11-22,3,18,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
204,95,2024-11-29,4,14,"Great purchase, very  satisfied.",0.8016,Positive,0.5 to 1.0
205,88,2023-04-06,5,12,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
206,72,2023-08-22,4,14,Shipping was fast and the item was well-packaged.,0.0,Positive,0.0 to 0.49
207,95,2025-06-07,4,18,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
208,94,2023-03-25,4,8,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
209,70,2025-11-05,3,8,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
210,28,2023-12-10,2,1,The product arrived late.,0.0,Negative,0.0 to 0.49
211,84,2025-03-07,4,12,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
212,87,2023-01-03,1,10,"Terrible customer service, would not buy again.",-0.4767,Negative,-0.49 to 0.0
213,7,2024-04-09,5,13,Shipping was fast and  the item was well-packaged.,0.0,Positive,0.0 to 0.49
214,53,2025-04-13,3,18,Five stars for the quick delivery.,0.0,Neutral,0.0 to 0.49
215,55,2024-01-07,2,10,Product did not meet my expectations.,0.0,Negative,0.0 to 0.49
216,49,2023-11-14,3,7,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
217,62,2023-08-19,5,11,Amazing value  for the price.,0.7351,Positive,0.5 to 1.0
218,35,2024-09-14,4,8,The quality is top-notch.,0.0,Positive,0.0 to 0.49
219,90,2023-02-18,4,9,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
220,78,2025-08-12,2,9,Disappointed with the performance.,-0.4767,Negative,-0.49 to 0.0
221,26,2024-10-21,4,2,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
222,54,2024-02-28,5,14,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
223,37,2023-07-31,5,16,Exceeded my expectations!,0.0,Positive,0.0 to 0.49
224,68,2023-03-27,4,15,"Great purchase,  very satisfied.",0.8016,Positive,0.5 to 1.0
225,80,2025-09-08,3,1,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
226,60,2023-08-23,2,9,The product arrived late.,0.0,Negative,0.0 to 0.49
227,74,2024-08-10,4,11,"Good  quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
228,20,2025-10-23,2,19,"The product is okay, but the instructions were unclear.",-0.2617,Negative,-0.49 to 0.0
229,69,2023-02-07,4,12,The  quality is top-notch.,0.0,Positive,0.0 to 0.49
230,54,2023-10-19,2,11,The product arrived late.,0.0,Negative,0.0 to 0.49
231,15,2025-04-15,5,16,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
232,17,2025-10-11,5,3,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
233,81,2024-11-14,2,4,The product arrived late.,0.0,Negative,0.0 to 0.49
234,80,2023-03-06,5,9,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
235,54,2024-03-18,4,3,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
236,55,2025-03-03,5,16,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
237,44,2025-09-29,4,2,The quality is top-notch.,0.0,Positive,0.0 to 0.49
238,47,2023-04-18,4,9,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
239,45,2024-01-28,5,9,Exceeded my expectations!,0.0,Positive,0.0 to 0.49
240,20,2024-11-09,5,16,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
241,61,2024-04-22,4,15,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
242,20,2025-06-07,4,20,The quality is top-notch.,0.0,Positive,0.0 to 0.49
243,24,2023-02-17,1,11,I had a bad experience with this product.,-0.5423,Negative,-1.0 to -0.5
244,36,2023-08-25,4,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
245,50,2023-03-23,3,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
246,71,2023-07-23,4,12,The  quality is top-notch.,0.0,Positive,0.0 to 0.49
247,28,2025-11-24,5,6,"Excellent product, highly  recommend!",0.7773,Positive,0.5 to 1.0
248,81,2023-07-15,3,6,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
249,75,2023-01-04,1,2,"Not  satisfied, the product broke after a week.",-0.6288,Negative,-1.0 to -0.5
250,22,2023-09-21,1,11,The product stopped working after a month.,-0.2263,Negative,-0.49 to 0.0
251,16,2024-02-01,4,2,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
252,6,2025-03-18,5,6,The build quality is  impressive.,0.5106,Positive,0.5 to 1.0
253,75,2024-08-03,3,15,"Great purchase, very satisfied.",0.8016,Mixed Positive,0.5 to 1.0
254,30,2025-12-31,3,19,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
255,13,2024-01-23,5,16,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
256,91,2024-02-11,4,3,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
257,84,2023-10-03,3,13,"Average experience, nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
258,34,2025-05-13,4,7,"Great  purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
259,75,2023-08-24,3,2,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
260,44,2024-03-07,3,18,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
261,29,2024-10-15,4,12,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
262,45,2024-07-07,5,7,Five stars for  the quick delivery.,0.0,Positive,0.0 to 0.49
263,47,2024-10-21,4,8,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
264,96,2025-08-19,4,18,Shipping was fast and the  item was well-packaged.,0.0,Positive,0.0 to 0.49
265,22,2024-05-14,4,19,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
266,62,2025-02-22,5,5,"Excellent product,  highly recommend!",0.7773,Positive,0.5 to 1.0
267,55,2023-12-01,3,19,"The product is  okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
268,98,2023-10-28,5,17,The build quality  is impressive.,0.5106,Positive,0.5 to 1.0
269,75,2023-11-18,4,4,The quality is top-notch.,0.0,Positive,0.0 to 0.49
270,46,2023-09-25,1,6,The color was different from what was shown.,0.0,Negative,0.0 to 0.49
271,21,2025-08-08,5,17,The  build quality is impressive.,0.5106,Positive,0.5 to 1.0
272,39,2023-03-26,5,17,Shipping was fast and the item was well-packaged.,0.0,Positive,0.0 to 0.49
273,10,2024-10-09,5,2,Shipping was fast and the item was well-packaged.,0.0,Positive,0.0 to 0.49
274,93,2023-04-07,5,11,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
275,45,2023-04-03,4,12,Five stars for the quick delivery.,0.0,Positive,0.0 to 0.49
276,86,2025-01-29,5,1,The quality is top-notch.,0.0,Positive,0.0 to 0.49
277,22,2025-03-21,4,6,The quality is top-notch.,0.0,Positive,0.0 to 0.49
278,80,2023-03-01,5,20,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
279,86,2023-07-21,5,5,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
280,68,2023-11-09,4,19,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
281,71,2025-11-19,4,5,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
282,59,2023-02-17,3,5,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
283,87,2023-02-14,5,13,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
284,89,2023-09-01,4,13,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
285,29,2023-08-25,4,3,"Good quality, but could  be cheaper.",0.2382,Positive,0.0 to 0.49
286,53,2023-05-04,5,16,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
287,75,2025-02-14,5,6,"I love this product, will  buy again!",0.6696,Positive,0.5 to 1.0
288,68,2024-06-21,5,17,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
289,87,2023-10-04,5,15,Customer support was  very helpful.,0.6997,Positive,0.5 to 1.0
290,20,2024-09-23,2,14,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
291,17,2025-12-06,5,7,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
292,15,2025-10-19,5,7,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
